FILENAME,DATE-OBS,NCYCLES,CYCLIND,NSEQ,SEQINDEX,WPPOS,NFRAMES,FRAMEIND,EXPTIME
20251006_s4c1_000001.fits,2025-10-06T18:26:57.394215,1,1,16,1,1,1,1,1.5
20251006_s4c1_000002.fits,2025-10-06T18:26:59.510385,1,1,16,2,2,1,1,1.5
20251006_s4c1_000003.fits,2025-10-06T18:27:01.832605,1,1,16,3,2,1,1,1.5
20251006_s4c1_000004.fits,2025-10-06T18:27:03.938901,1,1,16,4,3,1,1,1.5
20251006_s4c1_000005.fits,2025-10-06T18:27:06.044501,1,1,16,5,4,1,1,1.5
20251006_s4c1_000006.fits,2025-10-06T18:27:08.246747,1,1,16,6,5,1,1,1.5
20251006_s4c1_000007.fits,2025-10-06T18:27:10.356290,1,1,16,7,6,1,1,1.5
20251006_s4c1_000008.fits,2025-10-06T18:27:12.576644,1,1,16,8,7,1,1,1.5
20251006_s4c1_000009.fits,2025-10-06T18:27:14.673814,1,1,16,9,8,1,1,1.5
20251006_s4c1_000010.fits,2025-10-06T18:27:16.786929,1,1,16,10,9,1,1,1.5
20251006_s4c1_000011.fits,2025-10-06T18:27:19.084161,1,1,16,11,10,1,1,1.5
20251006_s4c1_000012.fits,2025-10-06T18:27:21.194465,1,1,16,12,11,1,1,1.5
20251006_s4c1_000013.fits,2025-10-06T18:27:23.294894,1,1,16,13,12,1,1,1.5
20251006_s4c1_000014.fits,2025-10-06T18:27:25.415982,1,1,16,14,13,1,1,1.5
20251006_s4c1_000015.fits,2025-10-06T18:27:27.608185,1,1,16,15,14,1,1,1.5
20251006_s4c1_000016.fits,2025-10-06T18:27:29.735804,1,1,16,16,15,1,1,1.5
